Date : 2022-12-03 15:15:21
Directory : d:\SEM Project\quick_shift\quick_shift
Total : 64 files,  4056 codes, 377 comments, 424 blanks, all 4857 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| linux                                                                                                           |          5 |         94 |         27 |         38 |        159 |
| linux\flutter                                                                                                   |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                                           |          6 |        454 |          3 |         12 |        469 |
| macos\Flutter                                                                                                   |          1 |         16 |          3 |          4 |         23 |
| macos\Runner                                                                                                    |          4 |        431 |          0 |          8 |        439 |
| macos\Runner\Assets.xcassets                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                         |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                            |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                             |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                                         |         10 |        407 |         80 |        131 |        618 |
| windows\flutter                                                                                                 |          2 |         11 |          9 |         11 |         31 |
| windows\runner                                                                                                  |          8 |        396 |         71 |        120 |        587 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                        | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\SEM Project\quick_shift\quick_shift\README.md                                                                | Markdown   |         10 |          0 |          7 |         17 |
| d:\SEM Project\quick_shift\quick_shift\analysis_options.yaml                                                    | YAML       |          3 |         23 |          4 |         30 |
| d:\SEM Project\quick_shift\quick_shift\android\app\build.gradle                                                 | Groovy     |         56 |          5 |         16 |         77 |
| d:\SEM Project\quick_shift\quick_shift\android\app\google-services.json                                         | JSON       |         54 |          0 |          0 |         54 |
| d:\SEM Project\quick_shift\quick_shift\android\app\src\debug\AndroidManifest.xml                                | XML        |          4 |          4 |          1 |          9 |
| d:\SEM Project\quick_shift\quick_shift\android\app\src\main\AndroidManifest.xml                                 | XML        |         33 |          6 |          2 |         41 |
| d:\SEM Project\quick_shift\quick_shift\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java | Java       |         13 |          9 |          4 |         26 |
| d:\SEM Project\quick_shift\quick_shift\android\app\src\main\res\drawable-v21\launch_background.xml              | XML        |          4 |          7 |          2 |         13 |
| d:\SEM Project\quick_shift\quick_shift\android\app\src\main\res\drawable\launch_background.xml                  | XML        |          4 |          7 |          2 |         13 |
| d:\SEM Project\quick_shift\quick_shift\android\app\src\main\res\values-night\styles.xml                         | XML        |          9 |          9 |          1 |         19 |
| d:\SEM Project\quick_shift\quick_shift\android\app\src\main\res\values\styles.xml                               | XML        |          9 |          9 |          1 |         19 |
| d:\SEM Project\quick_shift\quick_shift\android\app\src\profile\AndroidManifest.xml                              | XML        |          4 |          4 |          1 |          9 |
| d:\SEM Project\quick_shift\quick_shift\android\build.gradle                                                     | Groovy     |         28 |          0 |          5 |         33 |
| d:\SEM Project\quick_shift\quick_shift\android\gradle.properties                                                | Properties |          3 |          0 |          1 |          4 |
| d:\SEM Project\quick_shift\quick_shift\android\gradle\wrapper\gradle-wrapper.properties                         | Properties |          5 |          0 |          1 |          6 |
| d:\SEM Project\quick_shift\quick_shift\android\settings.gradle                                                  | Groovy     |          8 |          0 |          4 |         12 |
| d:\SEM Project\quick_shift\quick_shift\ios\Runner\AppDelegate.swift                                             | Swift      |         14 |          0 |          2 |         16 |
| d:\SEM Project\quick_shift\quick_shift\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json              | JSON       |        122 |          0 |          1 |        123 |
| d:\SEM Project\quick_shift\quick_shift\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json            | JSON       |         23 |          0 |          1 |         24 |
| d:\SEM Project\quick_shift\quick_shift\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                | Markdown   |          3 |          0 |          2 |          5 |
| d:\SEM Project\quick_shift\quick_shift\ios\Runner\Base.lproj\LaunchScreen.storyboard                            | XML        |         36 |          1 |          1 |         38 |
| d:\SEM Project\quick_shift\quick_shift\ios\Runner\Base.lproj\Main.storyboard                                    | XML        |         25 |          1 |          1 |         27 |
| d:\SEM Project\quick_shift\quick_shift\ios\Runner\Runner-Bridging-Header.h                                      | C++        |          1 |          0 |          1 |          2 |
| d:\SEM Project\quick_shift\quick_shift\ios\firebase_app_id_file.json                                            | JSON       |          7 |          0 |          0 |          7 |
| d:\SEM Project\quick_shift\quick_shift\lib\config_maps.dart                                                     | Dart       |          1 |          0 |          1 |          2 |
| d:\SEM Project\quick_shift\quick_shift\lib\constants.dart                                                       | Dart       |         57 |          2 |          6 |         65 |
| d:\SEM Project\quick_shift\quick_shift\lib\data_getter.dart                                                     | Dart       |         38 |          4 |         10 |         52 |
| d:\SEM Project\quick_shift\quick_shift\lib\firebase_options.dart                                                | Dart       |         67 |         12 |          6 |         85 |
| d:\SEM Project\quick_shift\quick_shift\lib\main.dart                                                            | Dart       |         23 |          1 |          5 |         29 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\dashboard_loader.dart                         | Dart       |         26 |          1 |          6 |         33 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\driver_booking.dart                           | Dart       |        262 |          2 |          6 |        270 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\driver_scaffold.dart                          | Dart       |        282 |          3 |          7 |        292 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\user_booking.dart                             | Dart       |        286 |          3 |          6 |        295 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\user_scaffold.dart                            | Dart       |        521 |         23 |         27 |        571 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\auth_page.dart                                               | Dart       |         24 |          2 |          6 |         32 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\check_login_status.dart                                      | Dart       |         27 |          1 |          4 |         32 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\forgot_pw_page.dart                                          | Dart       |         96 |          3 |         10 |        109 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\signin_page.dart                                             | Dart       |        228 |         11 |         16 |        255 |
| d:\SEM Project\quick_shift\quick_shift\lib\screens\signup_page.dart                                             | Dart       |        565 |         29 |         35 |        629 |
| d:\SEM Project\quick_shift\quick_shift\linux\flutter\generated_plugin_registrant.cc                             | C++        |          3 |          4 |          5 |         12 |
| d:\SEM Project\quick_shift\quick_shift\linux\flutter\generated_plugin_registrant.h                              | C++        |          5 |          5 |          6 |         16 |
| d:\SEM Project\quick_shift\quick_shift\linux\main.cc                                                            | C++        |          5 |          0 |          2 |          7 |
| d:\SEM Project\quick_shift\quick_shift\linux\my_application.cc                                                  | C++        |         74 |         11 |         20 |        105 |
| d:\SEM Project\quick_shift\quick_shift\linux\my_application.h                                                   | C++        |          7 |          7 |          5 |         19 |
| d:\SEM Project\quick_shift\quick_shift\macos\Flutter\GeneratedPluginRegistrant.swift                            | Swift      |         16 |          3 |          4 |         23 |
| d:\SEM Project\quick_shift\quick_shift\macos\Runner\AppDelegate.swift                                           | Swift      |          8 |          0 |          2 |         10 |
| d:\SEM Project\quick_shift\quick_shift\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json            | JSON       |         68 |          0 |          1 |         69 |
| d:\SEM Project\quick_shift\quick_shift\macos\Runner\Base.lproj\MainMenu.xib                                     | XML        |        343 |          0 |          1 |        344 |
| d:\SEM Project\quick_shift\quick_shift\macos\Runner\MainFlutterWindow.swift                                     | Swift      |         12 |          0 |          4 |         16 |
| d:\SEM Project\quick_shift\quick_shift\macos\firebase_app_id_file.json                                          | JSON       |          7 |          0 |          0 |          7 |
| d:\SEM Project\quick_shift\quick_shift\pubspec.yaml                                                             | YAML       |         34 |         59 |         17 |        110 |
| d:\SEM Project\quick_shift\quick_shift\test\widget_test.dart                                                    | Dart       |         14 |         10 |          7 |         31 |
| d:\SEM Project\quick_shift\quick_shift\web\index.html                                                           | HTML       |         37 |         16 |          6 |         59 |
| d:\SEM Project\quick_shift\quick_shift\web\manifest.json                                                        | JSON       |         35 |          0 |          1 |         36 |
| d:\SEM Project\quick_shift\quick_shift\windows\flutter\generated_plugin_registrant.cc                           | C++        |          6 |          4 |          5 |         15 |
| d:\SEM Project\quick_shift\quick_shift\windows\flutter\generated_plugin_registrant.h                            | C++        |          5 |          5 |          6 |         16 |
| d:\SEM Project\quick_shift\quick_shift\windows\runner\flutter_window.cpp                                        | C++        |         45 |          4 |         13 |         62 |
| d:\SEM Project\quick_shift\quick_shift\windows\runner\flutter_window.h                                          | C++        |         20 |          5 |          9 |         34 |
| d:\SEM Project\quick_shift\quick_shift\windows\runner\main.cpp                                                  | C++        |         30 |          4 |         10 |         44 |
| d:\SEM Project\quick_shift\quick_shift\windows\runner\resource.h                                                | C++        |          9 |          6 |          2 |         17 |
| d:\SEM Project\quick_shift\quick_shift\windows\runner\utils.cpp                                                 | C++        |         53 |          2 |         10 |         65 |
| d:\SEM Project\quick_shift\quick_shift\windows\runner\utils.h                                                   | C++        |          8 |          6 |          6 |         20 |
| d:\SEM Project\quick_shift\quick_shift\windows\runner\win32_window.cpp                                          | C++        |        183 |         15 |         48 |        246 |
| d:\SEM Project\quick_shift\quick_shift\windows\runner\win32_window.h                                            | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                           |            |      4,056 |        377 |        424 |      4,857 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
